"","item_label","questionnaire","trait_number","trait_letter","pos_neg","triplet","pos"
"1","os1.01.1","OS",1,"l",1,1,1
"2","os2.01.2","OS",2,"o",1,1,2
"3","os3.01.3","OS",3,"a",1,1,3
"4","os2.02.1","OS",2,"o",1,2,1
"5","os4.02.2","OS",4,"c",1,2,2
"6","os1.02.3","OS",1,"l",1,2,3
"7","os6.03.1","OS",6,"p",1,3,1
"8","os1.03.2","OS",1,"l",1,3,2
"9","os2.03.3","OS",2,"o",1,3,3
"10","os1.04.1","OS",1,"l",1,4,1
"11","os3.04.2","OS",3,"a",1,4,2
"12","os4.04.3","OS",4,"c",1,4,3
"13","os8.05.1","OS",8,"e",1,5,1
"14","os1.05.2","OS",1,"l",1,5,2
"15","os3.05.3","OS",3,"a",1,5,3
"16","os6.06.1","OS",6,"p",1,6,1
"17","os8.06.2","OS",8,"e",1,6,2
"18","os1.06.3","OS",1,"l",1,6,3
"19","os1.07.1","OS",1,"l",1,7,1
"20","os4.07.2","OS",4,"c",1,7,2
"21","os5.07.3","OS",5,"n",1,7,3
"22","os7.08.1","OS",7,"d",1,8,1
"23","os1.08.2","OS",1,"l",1,8,2
"24","os6.08.3","OS",6,"p",1,8,3
"25","os8.09.1","OS",8,"e",1,9,1
"26","os7.09.2","OS",7,"d",1,9,2
"27","os1.09.3","OS",1,"l",1,9,3
"28","os1.10.1","OS",1,"l",1,10,1
"29","os5.10.2","OS",5,"n",1,10,2
"30","os6.10.3","OS",6,"p",1,10,3
"31","os5.11.1","OS",5,"n",1,11,1
"32","os1.11.2","OS",1,"l",1,11,2
"33","os7.11.3","OS",7,"d",1,11,3
"34","os2.12.1","OS",2,"o",1,12,1
"35","os3.12.2","OS",3,"a",1,12,2
"36","os4.12.3","OS",4,"c",1,12,3
"37","os3.13.1","OS",3,"a",1,13,1
"38","os2.13.2","OS",2,"o",1,13,2
"39","os5.13.3","OS",5,"n",1,13,3
"40","os3.14.1","OS",3,"a",1,14,1
"41","os8.14.2","OS",8,"e",1,14,2
"42","os2.14.3","OS",2,"o",1,14,3
"43","os2.15.1","OS",2,"o",1,15,1
"44","os4.15.2","OS",4,"c",1,15,2
"45","os5.15.3","OS",5,"n",1,15,3
"46","os4.16.1","OS",4,"c",1,16,1
"47","os2.16.2","OS",2,"o",1,16,2
"48","os6.16.3","OS",6,"p",1,16,3
"49","os5.17.1","OS",5,"n",1,17,1
"50","os6.17.2","OS",6,"p",1,17,2
"51","os2.17.3","OS",2,"o",1,17,3
"52","os7.18.1","OS",7,"d",1,18,1
"53","os5.18.2","OS",5,"n",1,18,2
"54","os2.18.3","OS",2,"o",1,18,3
"55","os4.19.1","OS",4,"c",1,19,1
"56","os2.19.2","OS",2,"o",1,19,2
"57","os7.19.3","OS",7,"d",1,19,3
"58","os6.20.1","OS",6,"p",1,20,1
"59","os8.20.2","OS",8,"e",1,20,2
"60","os2.20.3","OS",2,"o",1,20,3
"61","os2.21.1","OS",2,"o",1,21,1
"62","os7.21.2","OS",7,"d",1,21,2
"63","os8.21.3","OS",8,"e",1,21,3
"64","os5.22.1","OS",5,"n",1,22,1
"65","os3.22.2","OS",3,"a",1,22,2
"66","os4.22.3","OS",4,"c",1,22,3
"67","os6.23.1","OS",6,"p",1,23,1
"68","os4.23.2","OS",4,"c",1,23,2
"69","os3.23.3","OS",3,"a",1,23,3
"70","os3.24.1","OS",3,"a",1,24,1
"71","os7.24.2","OS",7,"d",1,24,2
"72","os4.24.3","OS",4,"c",1,24,3
"73","os4.25.1","OS",4,"c",1,25,1
"74","os3.25.2","OS",3,"a",1,25,2
"75","os5.25.3","OS",5,"n",1,25,3
"76","os8.26.1","OS",8,"e",1,26,1
"77","os6.26.2","OS",6,"p",1,26,2
"78","os3.26.3","OS",3,"a",1,26,3
"79","os3.27.1","OS",3,"a",1,27,1
"80","os6.27.2","OS",6,"p",1,27,2
"81","os7.27.3","OS",7,"d",1,27,3
"82","os4.28.1","OS",4,"c",1,28,1
"83","os3.28.2","OS",3,"a",1,28,2
"84","os7.28.3","OS",7,"d",1,28,3
"85","os7.29.1","OS",7,"d",1,29,1
"86","os4.29.2","OS",4,"c",1,29,2
"87","os8.29.3","OS",8,"e",1,29,3
"88","os5.30.1","OS",5,"n",1,30,1
"89","os8.30.2","OS",8,"e",1,30,2
"90","os4.30.3","OS",4,"c",1,30,3
"91","bi2.01.1","BI",2,"e",1,1,1
"92","bi4.01.2","BI",4,"a",1,1,2
"93","bi5.01.3","BI",5,"c",-1,1,3
"94","bi5.02.1","BI",5,"c",1,2,1
"95","bi2.02.2","BI",2,"e",1,2,2
"96","bi4.02.3","BI",4,"a",-1,2,3
"97","bi4.03.1","BI",4,"a",1,3,1
"98","bi1.03.2","BI",1,"n",-1,3,2
"99","bi2.03.3","BI",2,"e",-1,3,3
"100","bi1.04.1","BI",1,"n",-1,4,1
"101","bi2.04.2","BI",2,"e",1,4,2
"102","bi4.04.3","BI",4,"a",-1,4,3
"103","bi3.05.1","BI",3,"o",1,5,1
"104","bi2.05.2","BI",2,"e",1,5,2
"105","bi4.05.3","BI",4,"a",-1,5,3
"106","bi3.06.1","BI",3,"o",1,6,1
"107","bi4.06.2","BI",4,"a",1,6,2
"108","bi2.06.3","BI",2,"e",-1,6,3
"109","bi5.07.1","BI",5,"c",-1,7,1
"110","bi2.07.2","BI",2,"e",-1,7,2
"111","bi1.07.3","BI",1,"n",1,7,3
"112","bi1.08.1","BI",1,"n",-1,8,1
"113","bi2.08.2","BI",2,"e",-1,8,2
"114","bi5.08.3","BI",5,"c",1,8,3
"115","bi5.09.1","BI",5,"c",-1,9,1
"116","bi3.09.2","BI",3,"o",1,9,2
"117","bi2.09.3","BI",2,"e",-1,9,3
"118","bi2.10.1","BI",2,"e",1,10,1
"119","bi5.10.2","BI",5,"c",-1,10,2
"120","bi3.10.3","BI",3,"o",1,10,3
"121","bi2.11.1","BI",2,"e",-1,11,1
"122","bi3.11.2","BI",3,"o",-1,11,2
"123","bi1.11.3","BI",1,"n",1,11,3
"124","bi3.12.1","BI",3,"o",1,12,1
"125","bi2.12.2","BI",2,"e",1,12,2
"126","bi1.12.3","BI",1,"n",-1,12,3
"127","bi4.13.1","BI",4,"a",1,13,1
"128","bi5.13.2","BI",5,"c",1,13,2
"129","bi1.13.3","BI",1,"n",-1,13,3
"130","bi1.14.1","BI",1,"n",1,14,1
"131","bi5.14.2","BI",5,"c",1,14,2
"132","bi4.14.3","BI",4,"a",-1,14,3
"133","bi5.15.1","BI",5,"c",1,15,1
"134","bi3.15.2","BI",3,"o",1,15,2
"135","bi4.15.3","BI",4,"a",-1,15,3
"136","bi5.16.1","BI",5,"c",-1,16,1
"137","bi4.16.2","BI",4,"a",1,16,2
"138","bi3.16.3","BI",3,"o",-1,16,3
"139","bi4.17.1","BI",4,"a",-1,17,1
"140","bi1.17.2","BI",1,"n",1,17,2
"141","bi3.17.3","BI",3,"o",-1,17,3
"142","bi4.18.1","BI",4,"a",1,18,1
"143","bi3.18.2","BI",3,"o",-1,18,2
"144","bi1.18.3","BI",1,"n",-1,18,3
"145","bi5.19.1","BI",5,"c",1,19,1
"146","bi1.19.2","BI",1,"n",1,19,2
"147","bi3.19.3","BI",3,"o",-1,19,3
"148","bi3.20.1","BI",3,"o",1,20,1
"149","bi1.20.2","BI",1,"n",1,20,2
"150","bi5.20.3","BI",5,"c",-1,20,3
"151","bt1.01.1","BT",1,"n",1,1,1
"152","bt2.01.2","BT",2,"e",-1,1,2
"153","bt4.01.3","BT",4,"a",-1,1,3
"154","bt4.02.1","BT",4,"a",-1,2,1
"155","bt2.02.2","BT",2,"e",-1,2,2
"156","bt1.02.3","BT",1,"n",1,2,3
"157","bt2.03.1","BT",2,"e",-1,3,1
"158","bt5.03.2","BT",5,"c",-1,3,2
"159","bt1.03.3","BT",1,"n",1,3,3
"160","bt3.04.1","BT",3,"o",-1,4,1
"161","bt2.04.2","BT",2,"e",1,4,2
"162","bt1.04.3","BT",1,"n",1,4,3
"163","bt1.05.1","BT",1,"n",-1,5,1
"164","bt2.05.2","BT",2,"e",1,5,2
"165","bt3.05.3","BT",3,"o",1,5,3
"166","bt4.06.1","BT",4,"a",-1,6,1
"167","bt3.06.2","BT",3,"o",-1,6,2
"168","bt2.06.3","BT",2,"e",1,6,3
"169","bt5.07.1","BT",5,"c",1,7,1
"170","bt2.07.2","BT",2,"e",-1,7,2
"171","bt3.07.3","BT",3,"o",1,7,3
"172","bt1.08.1","BT",1,"n",-1,8,1
"173","bt3.08.2","BT",3,"o",1,8,2
"174","bt4.08.3","BT",4,"a",1,8,3
"175","bt4.09.1","BT",4,"a",1,9,1
"176","bt5.09.2","BT",5,"c",1,9,2
"177","bt1.09.3","BT",1,"n",-1,9,3
"178","bt2.10.1","BT",2,"e",1,10,1
"179","bt1.10.2","BT",1,"n",-1,10,2
"180","bt5.10.3","BT",5,"c",1,10,3
"181","bt5.11.1","BT",5,"c",1,11,1
"182","bt1.11.2","BT",1,"n",-1,11,2
"183","bt2.11.3","BT",2,"e",1,11,3
"184","bt1.12.1","BT",1,"n",-1,12,1
"185","bt2.12.2","BT",2,"e",1,12,2
"186","bt5.12.3","BT",5,"c",1,12,3
"187","bt3.13.1","BT",3,"o",1,13,1
"188","bt5.13.2","BT",5,"c",1,13,2
"189","bt1.13.3","BT",1,"n",-1,13,3
"190","bt1.14.1","BT",1,"n",-1,14,1
"191","bt5.14.2","BT",5,"c",1,14,2
"192","bt3.14.3","BT",3,"o",1,14,3
"193","bt1.15.1","BT",1,"n",-1,15,1
"194","bt3.15.2","BT",3,"o",1,15,2
"195","bt5.15.3","BT",5,"c",1,15,3
"196","bt5.16.1","BT",5,"c",1,16,1
"197","bt1.16.2","BT",1,"n",-1,16,2
"198","bt3.16.3","BT",3,"o",1,16,3
"199","bt2.17.1","BT",2,"e",1,17,1
"200","bt1.17.2","BT",1,"n",-1,17,2
"201","bt5.17.3","BT",5,"c",1,17,3
"202","bt2.18.1","BT",2,"e",1,18,1
"203","bt3.18.2","BT",3,"o",-1,18,2
"204","bt5.18.3","BT",5,"c",1,18,3
"205","bt4.19.1","BT",4,"a",1,19,1
"206","bt5.19.2","BT",5,"c",1,19,2
"207","bt1.19.3","BT",1,"n",-1,19,3
"208","bt5.20.1","BT",5,"c",1,20,1
"209","bt4.20.2","BT",4,"a",1,20,2
"210","bt2.20.3","BT",2,"e",1,20,3
"211","ho6.01.1","HO",6,"o",1,1,1
"212","ho5.01.2","HO",5,"c",-1,1,2
"213","ho4.01.3","HO",4,"a",-1,1,3
"214","ho5.02.1","HO",5,"c",-1,2,1
"215","ho3.02.2","HO",3,"x",1,2,2
"216","ho6.02.3","HO",6,"o",-1,2,3
"217","ho2.03.1","HO",2,"e",-1,3,1
"218","ho6.03.2","HO",6,"o",-1,3,2
"219","ho5.03.3","HO",5,"c",1,3,3
"220","ho6.04.1","HO",6,"o",1,4,1
"221","ho1.04.2","HO",1,"h",-1,4,2
"222","ho5.04.3","HO",5,"c",1,4,3
"223","ho4.05.1","HO",4,"a",1,5,1
"224","ho3.05.2","HO",3,"x",-1,5,2
"225","ho6.05.3","HO",6,"o",1,5,3
"226","ho2.06.1","HO",2,"e",1,6,1
"227","ho6.06.2","HO",6,"o",1,6,2
"228","ho4.06.3","HO",4,"a",-1,6,3
"229","ho6.07.1","HO",6,"o",-1,7,1
"230","ho4.07.2","HO",4,"a",1,7,2
"231","ho1.07.3","HO",1,"h",1,7,3
"232","ho3.08.1","HO",3,"x",-1,8,1
"233","ho2.08.2","HO",2,"e",1,8,2
"234","ho6.08.3","HO",6,"o",1,8,3
"235","ho1.09.1","HO",1,"h",-1,9,1
"236","ho6.09.2","HO",6,"o",-1,9,2
"237","ho3.09.3","HO",3,"x",1,9,3
"238","ho6.10.1","HO",6,"o",-1,10,1
"239","ho2.10.2","HO",2,"e",1,10,2
"240","os1.010.3","HO",1,"h",1,10,3
"241","ho5.11.1","HO",5,"c",-1,11,1
"242","ho4.11.2","HO",4,"a",1,11,2
"243","ho3.11.3","HO",3,"x",1,11,3
"244","ho4.12.1","HO",4,"a",1,12,1
"245","ho2.12.2","HO",2,"e",-1,12,2
"246","ho5.12.3","HO",5,"c",1,12,3
"247","ho1.13.1","HO",1,"h",-1,13,1
"248","ho5.13.2","HO",5,"c",-1,13,2
"249","ho4.13.3","HO",4,"a",1,13,3
"250","ho5.14.1","HO",5,"c",-1,14,1
"251","ho3.14.2","HO",3,"x",1,14,2
"252","ho2.14.3","HO",2,"e",1,14,3
"253","ho3.15.1","HO",3,"x",-1,15,1
"254","ho1.15.2","HO",1,"h",1,15,2
"255","ho5.15.3","HO",5,"c",-1,15,3
"256","os2.016.1","HO",2,"e",-1,16,1
"257","ho5.16.2","HO",5,"c",1,16,2
"258","ho1.16.3","HO",1,"h",-1,16,3
"259","ho4.17.1","HO",4,"a",-1,17,1
"260","ho3.17.2","HO",3,"x",1,17,2
"261","ho2.17.3","HO",2,"e",1,17,3
"262","ho3.18.1","HO",3,"x",-1,18,1
"263","ho1.18.2","HO",1,"h",1,18,2
"264","ho4.18.3","HO",4,"a",-1,18,3
"265","ho1.19.1","HO",1,"h",-1,19,1
"266","ho4.19.2","HO",4,"a",1,19,2
"267","ho2.19.3","HO",2,"e",1,19,3
"268","ho1.20.1","HO",1,"h",-1,20,1
"269","ho2.20.2","HO",2,"e",-1,20,2
"270","ho3.20.3","HO",3,"x",1,20,3
"271","ip5.01.1","IP",5,"r",1,1,1
"272","ip4.01.2","IP",4,"j",-1,1,2
"273","ip6.01.3","IP",6,"s",-1,1,3
"274","ip4.02.1","IP",4,"j",-1,2,1
"275","ip2.02.2","IP",2,"d",1,2,2
"276","ip5.02.3","IP",5,"r",-1,2,3
"277","ip3.03.1","IP",3,"i",-1,3,1
"278","ip5.03.2","IP",5,"r",-1,3,2
"279","ip4.03.3","IP",4,"j",1,3,3
"280","ip5.04.1","IP",5,"r",1,4,1
"281","ip1.04.2","IP",1,"c",-1,4,2
"282","ip4.04.3","IP",4,"j",1,4,3
"283","ip6.05.1","IP",6,"s",1,5,1
"284","ip2.05.2","IP",2,"d",-1,5,2
"285","ip5.05.3","IP",5,"r",1,5,3
"286","ip3.06.1","IP",3,"i",1,6,1
"287","ip5.06.2","IP",5,"r",-1,6,2
"288","ip6.06.3","IP",6,"s",-1,6,3
"289","ip5.07.1","IP",5,"r",-1,7,1
"290","ip6.07.2","IP",6,"s",1,7,2
"291","ip1.07.3","IP",1,"c",1,7,3
"292","ip2.08.1","IP",2,"d",-1,8,1
"293","ip3.08.2","IP",3,"i",1,8,2
"294","ip5.08.3","IP",5,"r",1,8,3
"295","ip1.09.1","IP",1,"c",-1,9,1
"296","ip5.09.2","IP",5,"r",-1,9,2
"297","ip2.09.3","IP",2,"d",1,9,3
"298","ip5.10.1","IP",5,"r",-1,10,1
"299","ip3.10.2","IP",3,"i",1,10,2
"300","ip1.10.3","IP",1,"c",1,10,3
"301","ip4.11.1","IP",4,"j",-1,11,1
"302","ip6.11.2","IP",6,"s",1,11,2
"303","ip2.11.3","IP",2,"d",1,11,3
"304","ip6.12.1","IP",6,"s",1,12,1
"305","ip3.12.2","IP",3,"i",-1,12,2
"306","ip4.12.3","IP",4,"j",1,12,3
"307","ip1.13.1","IP",1,"c",-1,13,1
"308","ip4.13.2","IP",4,"j",1,13,2
"309","ip6.13.3","IP",6,"s",-1,13,3
"310","ip4.14.1","IP",4,"j",-1,14,1
"311","ip2.14.2","IP",2,"d",1,14,2
"312","ip3.14.3","IP",3,"i",1,14,3
"313","ip2.15.1","IP",2,"d",-1,15,1
"314","ip1.15.2","IP",1,"c",1,15,2
"315","ip4.15.3","IP",4,"j",-1,15,3
"316","ip3.16.1","IP",3,"i",-1,16,1
"317","ip4.16.2","IP",4,"j",1,16,2
"318","ip1.16.3","IP",1,"c",-1,16,3
"319","ip6.17.1","IP",6,"s",-1,17,1
"320","ip2.17.2","IP",2,"d",1,17,2
"321","ip3.17.3","IP",3,"i",1,17,3
"322","ip2.18.1","IP",2,"d",-1,18,1
"323","ip1.18.2","IP",1,"c",1,18,2
"324","ip6.18.3","IP",6,"s",-1,18,3
"325","ip1.19.1","IP",1,"c",-1,19,1
"326","ip6.19.2","IP",6,"s",1,19,2
"327","ip3.19.3","IP",3,"i",-1,19,3
"328","ip1.20.1","IP",1,"c",1,20,1
"329","ip3.20.2","IP",3,"i",-1,20,2
"330","ip2.20.3","IP",2,"d",-1,20,3
"331","sd2.01.1","SD",2,"n",1,1,1
"332","sd3.01.2","SD",3,"p",1,1,2
"333","sd1.01.3","SD",1,"m",1,1,3
"334","sd2.02.1","SD",2,"n",-1,2,1
"335","sd1.02.2","SD",1,"m",1,2,2
"336","sd3.02.3","SD",3,"p",1,2,3
"337","sd2.03.1","SD",2,"n",1,3,1
"338","sd3.03.2","SD",3,"p",1,3,2
"339","sd1.03.3","SD",1,"m",1,3,3
"340","sd3.04.1","SD",3,"p",-1,4,1
"341","sd1.04.2","SD",1,"m",1,4,2
"342","sd2.04.3","SD",2,"n",1,4,3
"343","sd1.05.1","SD",1,"m",1,5,1
"344","sd2.05.2","SD",2,"n",1,5,2
"345","sd3.05.3","SD",3,"p",1,5,3
"346","sd1.06.1","SD",1,"m",1,6,1
"347","sd2.06.2","SD",2,"n",-1,6,2
"348","sd3.06.3","SD",3,"p",1,6,3
"349","sd1.07.1","SD",1,"m",1,7,1
"350","sd3.07.2","SD",3,"p",1,7,2
"351","sd2.07.3","SD",2,"n",-1,7,3
"352","sd3.08.1","SD",3,"p",1,8,1
"353","sd2.08.2","SD",2,"n",1,8,2
"354","sd1.08.3","SD",1,"m",1,8,3
"355","sd3.09.1","SD",3,"p",-1,9,1
"356","sd1.09.2","SD",1,"m",1,9,2
"357","sd2.09.3","SD",2,"n",1,9,3
