"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"B101_01";"B101_02";"B101_03";"B102_01";"B102_02";"B102_03";"B103_01";"B103_02";"B103_03";"B104_01";"B104_02";"B104_03";"B105_01";"B105_02";"B105_03";"B106_01";"B106_02";"B106_03";"B107_01";"B107_02";"B107_03";"B108_01";"B108_02";"B108_03";"B109_01";"B109_02";"B109_03";"B110_01";"B110_02";"B110_03";"B211_01";"B211_02";"B211_03";"B212_01";"B212_02";"B212_03";"B213_01";"B213_02";"B213_03";"B214_01";"B214_02";"B214_03";"B215_01";"B215_02";"B215_03";"B216_01";"B216_02";"B216_03";"B217_01";"B217_02";"B217_03";"B218_01";"B218_02";"B218_03";"B219_01";"B219_02";"B219_03";"B220_01";"B220_02";"B220_03";"EQ01_01";"EQ01_02";"EQ01_03";"IR01_01";"IR01_02";"IR01_03";"IR03_01";"IR03_02";"IR03_03";"IR02_01";"IR02_02";"IR02_03";"IR04_01";"IR04_02";"IR04_03";"KE01_01";"KE01_02";"KE01_03";"KE01_04";"KE01_05";"KE01_06";"KE01_07";"KE01_08";"KE01_09";"KE01_10";"KE01_11";"KE01_12";"KE01_13";"KE01_14";"KE01_15";"KE01_16";"KE01_17";"KE01_18";"KE01_19";"KE01_20";"KE01_21";"KE01_22";"KE01_23";"KE01_24";"KE01_25";"KE01_26";"KE01_27";"KE01_28";"KE01_29";"KE01_30";"KE01_31";"KE01_32";"KE01_33";"KE01_34";"C101_01";"C101_02";"C101_03";"C102_01";"C102_02";"C102_03";"C103_01";"C103_02";"C103_03";"C104_01";"C104_02";"C104_03";"C105_01";"C105_02";"C105_03";"C106_01";"C106_02";"C106_03";"C107_01";"C107_02";"C107_03";"C108_01";"C108_02";"C108_03";"C109_01";"C109_02";"C109_03";"C110_01";"C110_02";"C110_03";"C211_01";"C211_02";"C211_03";"C212_01";"C212_02";"C212_03";"C213_01";"C213_02";"C213_03";"C214_01";"C214_02";"C214_03";"C215_01";"C215_02";"C215_03";"C216_01";"C216_02";"C216_03";"C217_01";"C217_02";"C217_03";"C218_01";"C218_02";"C218_03";"C219_01";"C219_02";"C219_03";"C220_01";"C220_02";"C220_03";"GE01";"GE01_01";"GE01_02";"GE01_03";"GE01_04";"GE01_05";"GE01_06";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME008";"TIME009";"TIME010";"TIME011";"TIME012";"TIME013";"TIME014";"TIME015";"TIME016";"TIME017";"TIME018";"TIME019";"TIME020";"TIME021";"TIME022";"TIME023";"TIME024";"TIME025";"TIME026";"TIME027";"TIME028";"TIME029";"TIME030";"TIME031";"TIME032";"TIME033";"TIME034";"TIME035";"TIME036";"TIME037";"TIME038";"TIME039";"TIME040";"TIME041";"TIME042";"TIME043";"TIME044";"TIME045";"TIME046";"TIME047";"TIME048";"TIME049";"TIME050";"TIME051";"TIME052";"TIME053";"TIME054";"TIME055";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME"
48;;;"base";"interview";2021-02-15 16:30:27;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;3;1;2;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;3;1;2;"1";"5";"4";"6";"10";"9";"3";"8";"2";"7";"7";"2";"9";"3";"6";"8";"10";"5";"4";"1";"11";"11";"8";"11";"9";"1";"3";"2";"5";"6";"7";"11";"10";"4";1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;3;2;1;1;2;3;2;1;3;1;2;3;1;2;3;1;3;2;3;1;2;1;2;3;2;1;3;;;;;;;;2;11;2;2;2;2;2;2;2;2;2;1;2;2;3;1;1;3;2;2;1;1;2;2;3;2;2;2;1;3;5;4;4;6;3;5;5;5;4;4;5;2;2;11;6;8;6;9;7;7;15;9;9;6;2;216;;2021-02-15 16:34:04;1;0;55;55;0;0;1.76;75
50;;;"base";"interview";2021-02-15 19:22:55;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;3;1;2;2;1;3;3;1;2;3;1;2;1;2;3;2;1;3;2;1;3;2;1;3;2;3;1;2;1;3;1;3;2;1;2;3;2;3;1;2;1;3;3;1;2;"4";"11";"2";"9";"8";"7";"10";"5";"3";"1";"5";"9";"11";"3";"2";"6";"7";"1";"10";"4";"6";"5";"10";"8";"8";"7";"6";"11";"4";"9";"2";"1";"5";"3";2;1;3;2;1;3;2;3;1;3;1;2;2;1;3;3;1;2;1;3;2;2;1;3;2;1;3;2;1;3;1;2;3;3;1;2;1;2;3;3;2;1;3;1;2;1;3;2;2;3;1;2;3;1;1;2;3;2;1;3;;;;;;;;75;14;36;23;7;5;5;5;5;4;7;6;7;5;6;17;14;7;7;6;6;5;5;6;8;6;7;5;4;105;33;6;6;7;6;9;8;5;7;9;7;3;4;11;7;8;10;7;6;7;8;7;6;11;2;485;;2021-02-15 19:33:13;1;0;55;55;0;0;0.84;9
51;;;"base";"interview";2021-02-15 21:52:23;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;2;1;3;1;3;2;2;3;1;1;3;2;1;2;3;1;3;2;-9;2;1;1;2;3;-9;1;2;3;1;2;1;2;3;1;2;3;2;3;1;1;2;3;3;1;2;"4";"1";"11";"9";"7";"2";"6";"10";"3";"8";"8";"2";"10";"6";"5";"9";"3";"7";"11";"1";"5";"9";"5";"4";"9";"4";"2";"6";"3";"8";"1";"10";"11";"7";1;3;2;3;2;1;3;1;2;2;3;1;2;1;3;2;1;3;2;1;3;2;3;1;3;1;2;2;1;3;1;2;3;3;2;1;1;2;3;3;2;1;3;2;1;1;3;2;2;3;1;3;2;1;2;1;3;1;2;3;;;;;;;;8;15;11;19;2;2;2;2;2;2;2;2;2;2;1;2;14;2;2;1;2;3;2;2;2;2;2;3;3;11;4;3;3;3;5;3;3;4;3;3;4;1;9;5;5;5;4;6;5;7;8;4;5;5;2;236;;2021-02-15 21:56:19;1;0;55;55;1;0;1.73;48
55;;;"base";"interview";2021-02-23 16:02:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9;-9;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;2021-02-23 16:03:11;0;0;1;1;25;0;1;0
58;;;"base";"interview";2021-02-24 09:46:50;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;2;1;3;2;1;3;1;2;3;3;1;2;3;2;1;3;2;1;2;1;3;1;3;2;3;2;1;1;2;3;-9;-9;-9;1;2;3;2;3;1;3;1;2;3;1;2;"1";"4";"3";"10";"2";"9";"11";"5";"7";"6";"1";"4";"11";"10";"5";"6";"9";"8";"3";"7";"8";"2";"9";"2";"7";"11";"10";"8";"4";"3";"5";"1";"2";"6";3;2;1;1;2;3;3;2;1;3;1;2;3;1;2;1;3;2;2;3;1;3;2;1;2;1;3;2;3;1;1;2;3;1;2;3;3;1;2;2;1;3;1;2;3;2;1;3;2;3;1;2;1;3;3;1;2;1;3;2;1;1;2;1;1;1;1;101;37;45;4;5;4;4;3;3;3;4;4;3;3;3;28;4;3;3;3;4;3;5;4;3;4;4;2;19;7;10;11;8;14;9;9;16;9;12;8;2;11;23;7;14;9;10;8;11;21;10;12;16;2;11;562;;2021-02-24 09:56:45;1;0;55;55;1;0;0.87;4
59;;;"base";"interview";2021-02-24 11:16:32;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;2;1;3;3;1;2;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;3;2;1;2;3;2;1;3;1;2;3;3;1;2;"6";"8";"1";"11";"2";"4";"7";"3";"9";"10";"6";"2";"11";"9";"5";"8";"1";"10";"4";"7";"5";"7";"2";"3";"10";"1";"3";"7";"11";"4";"5";"6";"8";"9";2;1;3;3;1;2;2;1;3;2;1;3;2;3;1;2;1;3;1;3;2;1;2;3;1;2;3;1;2;3;2;1;3;1;3;2;2;1;3;3;1;2;2;1;3;1;3;2;3;1;2;3;2;1;1;2;3;3;1;2;2;1;2;1;1;1;2;27;5;10;7;5;5;5;4;4;3;5;4;3;5;2;14;8;5;4;5;3;5;5;4;3;4;3;2;10;7;4;8;7;5;9;5;4;5;8;6;1;5;5;6;5;7;7;9;6;7;7;5;7;2;32;348;;2021-02-24 11:22:20;1;0;55;55;0;0;1.1;9
60;;;"base";"interview";2021-02-24 14:27:45;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;3;2;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;2;3;1;1;2;3;3;1;2;"1";"11";"3";"7";"6";"5";"10";"4";"2";"9";"2";"10";"3";"7";"8";"6";"5";"11";"4";"9";"8";"3";"5";"1";"4";"2";"6";"11";"7";"1";"9";"8";"10";"3";2;3;1;1;2;3;3;1;2;1;2;3;3;1;2;1;2;3;1;3;2;2;3;1;1;3;2;1;2;3;2;3;1;3;1;2;1;3;2;3;2;1;2;1;3;1;3;2;1;3;2;1;3;2;1;2;3;1;2;3;1;1;2;1;1;1;1;68;18;24;7;5;6;6;6;7;5;5;5;8;8;3;16;6;5;7;6;5;7;10;8;5;10;6;3;17;6;7;8;7;7;5;5;4;6;6;7;3;26;10;15;12;25;11;14;11;15;16;8;18;3;13;523;;2021-02-24 14:37:05;1;0;55;55;0;0;0.72;1
61;;;"base";"interview";2021-02-26 15:25:57;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;2;3;1;3;2;1;1;3;2;3;2;1;3;1;2;-9;2;1;2;1;3;2;1;3;2;1;3;2;1;3;1;2;3;1;2;3;2;3;1;2;1;3;3;1;2;"8";"9";"10";"6";"5";"1";"4";"3";"7";"11";"10";"3";"11";"1";"4";"2";"9";"8";"6";"5";"2";"8";"2";"7";"3";"1";"7";"4";"6";"8";"5";"9";"11";"10";2;3;1;2;1;3;1;3;2;1;3;2;2;1;3;1;3;2;3;1;2;3;1;2;1;2;3;3;1;2;1;2;3;2;3;1;1;2;3;3;1;2;3;2;1;1;3;2;2;3;1;3;2;1;2;1;3;1;2;3;1;1;2;1;1;1;1;75;33;4;7;5;4;4;5;4;4;4;5;3;4;2;9;4;4;5;4;6;4;4;4;6;5;4;2;6;5;6;6;5;6;5;5;5;5;4;5;1;6;6;6;7;8;6;9;6;8;6;5;6;1;18;386;;2021-02-26 15:32:23;1;0;55;55;1;0;1.13;11
62;;;"base";"interview";2021-03-01 14:37:12;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;3;2;1;2;3;3;2;1;1;3;2;1;3;2;2;1;3;3;1;2;1;3;2;3;1;2;1;3;2;1;2;3;2;3;1;2;3;1;3;1;2;3;1;2;"8";"3";"10";"5";"11";"1";"6";"7";"4";"9";"5";"9";"6";"4";"3";"8";"2";"1";"7";"10";"2";"4";"4";"11";"9";"2";"10";"7";"11";"1";"5";"3";"8";"6";1;3;2;2;1;3;1;2;3;1;3;2;2;1;3;3;1;2;1;3;2;3;2;1;1;3;2;3;1;2;1;2;3;3;2;1;1;2;3;3;1;2;3;2;1;1;3;2;3;2;1;2;3;1;1;2;3;1;3;2;1;1;2;1;1;1;1;21;7;11;4;6;3;4;3;4;3;4;3;4;3;2;8;4;3;4;5;3;4;3;3;4;3;5;2;4;5;3;3;5;6;3;4;4;3;3;4;4;7;5;5;6;5;6;5;6;5;4;6;4;1;6;255;;2021-03-01 14:41:28;1;0;55;55;0;0;1.38;21
63;;;"base";"interview";2021-03-02 16:00:35;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;2;1;3;1;2;3;3;2;1;3;1;2;2;1;3;1;2;3;2;1;3;1;2;3;1;3;2;2;1;3;1;2;3;1;2;3;2;1;3;3;1;2;"10";"7";"5";"1";"9";"4";"8";"3";"11";"2";"10";"2";"1";"9";"6";"11";"5";"7";"3";"4";"6";"11";"3";"8";"4";"1";"10";"7";"9";"2";"5";"6";"8";"11";2;3;1;3;2;1;2;1;3;1;3;2;3;2;1;2;1;3;1;2;3;2;1;3;1;3;2;2;1;3;3;1;2;1;2;3;3;2;1;1;2;3;2;1;3;2;1;3;3;1;2;3;1;2;2;3;1;1;2;3;1;2;1;1;1;1;1;98;20;29;6;8;9;7;6;7;7;5;7;6;5;4;20;10;6;5;7;6;6;6;5;6;6;5;3;24;13;7;10;9;7;7;8;9;10;11;10;2;9;15;10;14;9;10;12;12;10;14;15;11;2;12;597;;2021-03-02 16:10:32;1;0;55;55;0;0;0.67;0
64;;;"base";"interview";2021-03-03 07:43:28;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;3;2;1;3;1;2;2;3;1;2;3;1;1;2;3;3;1;2;3;1;2;3;1;2;3;1;2;2;1;3;1;2;3;1;2;3;2;3;1;2;1;3;3;1;2;"1";"8";"7";"2";"4";"5";"3";"10";"11";"9";"3";"1";"2";"8";"6";"9";"10";"4";"7";"11";"6";"5";"10";"5";"7";"2";"4";"11";"1";"9";"3";"5";"8";"6";2;3;1;2;3;1;2;1;3;2;1;3;3;1;2;2;1;3;2;3;1;1;2;3;3;2;1;2;3;1;2;1;3;3;1;2;1;3;2;1;2;3;3;2;1;1;3;2;1;2;3;3;2;1;1;2;3;2;1;3;1;1;2;1;1;1;1;74;22;124;4;4;3;3;6;3;4;4;3;5;5;5;23;3;5;6;4;4;4;3;4;4;3;4;4;27;11;15;13;9;12;11;9;10;11;13;18;2;32;19;14;14;41;6;30;9;9;18;17;13;1;14;509;;2021-03-03 07:55:46;1;0;55;55;0;0;0.78;4
65;;;"base";"interview";2021-03-03 17:22:24;1;2;3;1;2;3;1;2;3;1;2;3;1;2;-9;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;-9;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;2;1;3;1;2;3;1;2;3;1;2;3;3;1;2;"2";"3";"10";"11";"6";"4";"8";"5";"7";"9";"11";"1";"7";"2";"10";"3";"8";"4";"9";"6";"1";"10";"9";"5";"7";"1";"8";"2";"10";"4";"6";"3";"5";"11";1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;2;1;3;2;3;1;1;3;2;2;1;3;3;2;1;1;2;3;3;1;2;2;3;1;1;2;3;2;1;3;1;1;2;1;1;1;1;61;17;22;5;4;3;4;4;5;4;4;10;4;4;2;13;6;3;3;3;5;4;3;5;4;4;3;3;11;10;6;6;6;5;6;5;12;5;4;6;2;10;9;8;6;8;6;9;10;6;10;11;10;2;13;408;;2021-03-03 17:29:18;1;0;55;55;1;0;0.97;3
66;;;"base";"interview";2021-03-05 09:47:43;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;2;1;3;2;1;3;1;2;3;3;2;1;3;2;1;3;2;1;1;3;2;3;2;1;2;1;3;2;1;3;1;2;3;1;2;3;2;3;1;2;3;1;3;1;2;"11";"4";"6";"5";"3";"10";"8";"1";"2";"9";"3";"2";"4";"8";"7";"9";"1";"10";"6";"5";"7";"9";"9";"11";"4";"2";"1";"7";"10";"8";"6";"11";"3";"5";3;2;1;2;3;1;1;2;3;2;3;1;2;3;1;3;2;1;3;2;1;2;1;3;1;3;2;3;1;2;3;2;1;2;1;3;2;3;1;1;2;3;2;1;3;3;1;2;1;2;3;1;2;3;1;2;3;3;2;1;1;1;2;1;1;1;1;181;16;24;6;5;5;4;4;6;7;5;5;6;5;4;15;7;6;5;6;6;5;7;6;6;5;6;3;19;8;9;7;7;10;8;8;10;10;6;9;1;6;8;9;11;13;9;11;11;11;8;9;7;2;14;448;;2021-03-05 09:57:50;1;0;55;55;0;0;0.78;1
68;;;"base";"interview";2021-03-05 12:46:46;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;3;2;1;1;2;3;1;2;3;1;2;3;1;3;2;1;2;3;1;2;3;1;2;3;2;1;3;1;2;3;1;2;3;1;2;3;3;1;2;"6";"9";"11";"4";"5";"1";"3";"7";"10";"2";"1";"9";"11";"4";"5";"6";"8";"7";"2";"3";"8";"9";"4";"10";"8";"7";"1";"10";"9";"2";"3";"11";"6";"5";1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;2;1;3;2;1;3;2;3;1;2;3;1;2;1;3;2;1;3;3;1;2;2;1;3;2;1;3;2;1;3;1;1;2;1;1;1;1;109;15;46;3;3;3;4;3;4;3;3;3;3;3;3;18;3;3;3;2;4;4;2;3;2;3;3;34;87;7;8;7;8;7;5;8;5;5;5;5;2;9;15;10;13;16;14;14;14;11;10;6;15;2;10;503;;2021-03-05 12:56:56;1;0;55;55;0;0;1;8
69;;;"base";"interview";2021-03-05 14:47:29;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;2;1;3;2;1;3;2;3;1;1;2;3;3;1;2;1;3;2;2;1;3;2;1;3;2;1;3;2;1;3;2;3;1;1;2;3;2;3;1;2;1;3;3;1;2;"3";"10";"6";"2";"11";"7";"4";"5";"9";"1";"11";"6";"1";"7";"4";"9";"3";"10";"8";"5";"8";"9";"2";"2";"3";"5";"4";"7";"11";"10";"6";"9";"8";"1";2;1;3;1;3;2;2;3;1;2;1;3;2;1;3;1;2;3;3;2;1;2;1;3;2;1;3;1;2;3;1;2;3;3;1;2;2;1;3;3;1;2;3;2;1;1;3;2;2;3;1;1;3;2;1;2;3;2;1;3;1;2;1;1;1;1;1;29;22;15;5;6;5;5;8;5;5;6;4;5;5;2;6;5;6;5;6;5;7;7;5;5;6;5;3;12;8;10;6;8;6;7;6;5;6;7;7;5;4;11;6;13;9;10;8;12;6;7;21;8;2;7;401;;2021-03-05 14:54:25;1;0;55;55;0;0;0.88;4